token,model,logprob_sum,count
3895,delphi-llama2-100k,-90.80814646556973,116
3111,delphi-llama2-100k,-641.0541359782219,178
4050,delphi-llama2-100k,-14160.87977720797,5242
766,delphi-llama2-100k,-872.4766107918695,1010
1821,delphi-llama2-100k,-1725.3955295085907,516
2532,delphi-llama2-100k,-1171.1237672567368,276
2223,delphi-llama2-100k,-1424.2912335395813,335
1962,delphi-llama2-100k,-1232.9899306111038,447
1434,delphi-llama2-100k,-3861.64783680439,942
3560,delphi-llama2-100k,-545.1975323781371,126
607,delphi-llama2-100k,-17189.860363453627,6332
4052,delphi-llama2-100k,-17554.705426760018,9797
735,delphi-llama2-100k,-16390.137991070747,4006
539,delphi-llama2-100k,-6017.851866334677,2515
939,delphi-llama2-100k,-7004.374821275473,2199
617,delphi-llama2-100k,-9569.739454045892,5673
524,delphi-llama2-100k,-12541.936262448784,6437
779,delphi-llama2-100k,-6182.726673755329,3469
3690,delphi-llama2-100k,-899.398848772049,161
288,delphi-llama2-100k,-48827.3730467353,32859
1345,delphi-llama2-100k,-4865.899679005146,1044
453,delphi-llama2-100k,-36919.424418121576,11499
612,delphi-llama2-100k,-6108.447943329811,1291
1498,delphi-llama2-100k,-844.3058241825784,831
489,delphi-llama2-100k,-28821.712659299374,8643
2068,delphi-llama2-100k,-980.5749118234962,444
2851,delphi-llama2-100k,-317.26954859495163,214
394,delphi-llama2-100k,-44507.49868307263,23802
3621,delphi-llama2-100k,-884.0253291130066,146
707,delphi-llama2-100k,-9659.20057392586,4472
992,delphi-llama2-100k,-9134.852061033249,2025
421,delphi-llama2-100k,-1705.9536555870436,864
1998,delphi-llama2-100k,-2364.146763443947,469
1022,delphi-llama2-100k,-4073.146684244275,1934
502,delphi-llama2-100k,-27370.97134178877,10377
745,delphi-llama2-100k,-15536.951192706823,3793
623,delphi-llama2-100k,-15250.232338417321,5485
806,delphi-llama2-100k,-6263.407369082794,2381
1394,delphi-llama2-100k,-3828.646357625723,979
862,delphi-llama2-100k,-10256.795525968075,2304
1164,delphi-llama2-100k,-6729.717947578058,1297
2433,delphi-llama2-100k,-1714.9400166273117,299
754,delphi-llama2-100k,-15867.48402416706,3758
1530,delphi-llama2-100k,-3271.588918477297,831
610,delphi-llama2-100k,-15851.747674327344,6450
1035,delphi-llama2-100k,-4981.371967077255,1561
635,delphi-llama2-100k,-12356.658711474389,5854
1461,delphi-llama2-100k,-5156.523537993431,953
1395,delphi-llama2-100k,-3631.5145628051832,949
917,delphi-llama2-100k,-9114.720046281815,2159
1211,delphi-llama2-100k,-3970.786314368248,771
1315,delphi-llama2-100k,-4402.855592310429,1067
1061,delphi-llama2-100k,-6258.6609479263425,1770
2645,delphi-llama2-100k,-1087.7964992523193,238
810,delphi-llama2-100k,-5328.763680398464,1348
869,delphi-llama2-100k,-5713.7020098008215,2497
770,delphi-llama2-100k,-3647.0717237368226,1157
1086,delphi-llama2-100k,-7401.195590145886,1628
1376,delphi-llama2-100k,-4795.263516962528,1036
3442,delphi-llama2-100k,-535.8396240845323,140
460,delphi-llama2-100k,-22921.26872279588,12527
1360,delphi-llama2-100k,-5706.897490203381,998
531,delphi-llama2-100k,-23448.9556710124,9001
1407,delphi-llama2-100k,-2922.458784211427,933
2556,delphi-llama2-100k,-1635.0799416303635,272
445,delphi-llama2-100k,-23996.07101525739,9201
930,delphi-llama2-100k,-4476.21759647876,2103
798,delphi-llama2-100k,-6517.520116224885,3070
861,delphi-llama2-100k,-8621.365989655256,2746
769,delphi-llama2-100k,-6507.626415014267,2025
1037,delphi-llama2-100k,-4859.122698664665,1845
1135,delphi-llama2-100k,-6147.0553433299065,1493
780,delphi-llama2-100k,-9858.66612466774,3557
549,delphi-llama2-100k,-28828.646812677383,8304
1229,delphi-llama2-100k,-2304.5674493312836,308
545,delphi-llama2-100k,-685.7799012791365,413
1016,delphi-llama2-100k,-756.7845815464389,374
716,delphi-llama2-100k,-15254.684145152569,4468
1627,delphi-llama2-100k,-3883.940268278122,698
667,delphi-llama2-100k,-13735.99890290387,5093
733,delphi-llama2-100k,-11328.818991452456,3834
4029,delphi-llama2-100k,-5972.4664483872475,3069
2287,delphi-llama2-100k,-2026.1863768100739,339
469,delphi-llama2-100k,-34507.86435186118,12501
1770,delphi-llama2-100k,-2273.791415050626,503
1702,delphi-llama2-100k,-1657.3265574909747,599
648,delphi-llama2-100k,-5181.640225721989,2452
682,delphi-llama2-100k,-15489.56349053979,4585
702,delphi-llama2-100k,-15163.028053879738,4501
805,delphi-llama2-100k,-17279.822612047195,3122
1009,delphi-llama2-100k,-7145.215389847755,1909
2062,delphi-llama2-100k,-2695.234347343445,423
2451,delphi-llama2-100k,-1872.8334004282951,323
811,delphi-llama2-100k,-12354.513798713684,2797
1328,delphi-llama2-100k,-5433.284677095711,1196
587,delphi-llama2-100k,-11736.83872269094,3537
1146,delphi-llama2-100k,-4672.462004840374,1492
1299,delphi-llama2-100k,-2866.6501820608974,1190
1891,delphi-llama2-100k,-21665.442757641897,17222
374,delphi-llama2-100k,-13155.819621518254,7786
737,delphi-llama2-100k,-5579.78949829936,2688
1439,delphi-llama2-100k,-5272.252313375473,900
989,delphi-llama2-100k,-10309.415244698524,2082
2413,delphi-llama2-100k,-1751.8104481697083,303
840,delphi-llama2-100k,-4452.122948268428,2928
4035,delphi-llama2-100k,-8457.704491624143,6560
638,delphi-llama2-100k,-1962.639416217804,254
2114,delphi-llama2-100k,-379.4362865462899,205
1748,delphi-llama2-100k,-2468.094850599766,587
1105,delphi-llama2-100k,-6293.837068773806,1664
687,delphi-llama2-100k,-13847.448910817504,4675
949,delphi-llama2-100k,-5675.929556131363,2098
962,delphi-llama2-100k,-4813.889331743121,2147
3988,delphi-llama2-100k,-512.3788496479392,132
420,delphi-llama2-100k,-26609.287347828504,17331
1810,delphi-llama2-100k,-1417.770658493042,166
677,delphi-llama2-100k,-442.08007353311405,407
940,delphi-llama2-100k,-8136.53135356307,2224
728,delphi-llama2-100k,-16829.946371495724,4095
585,delphi-llama2-100k,-17255.523845572025,7026
2038,delphi-llama2-100k,-1509.291984796524,253
1237,delphi-llama2-100k,-5206.716533780098,1231
656,delphi-llama2-100k,-9293.816119091585,4873
580,delphi-llama2-100k,-15807.987591691315,7032
379,delphi-llama2-100k,-17574.711834556423,6259
582,delphi-llama2-100k,-24627.557903543115,6879
